"34-1-14","443 Broadway, Newburgh, NY, 12550","No_Match"
"48-4-27","56 Liberty St Wh, Newburgh, NY, 12550","Match","Exact","56 LIBERTY ST, NEWBURGH, NY, 12550","-74.01159,41.492012","124414013","L","36","071","000502","2007"
"48-4-26","58 Liberty St Wh, Newburgh, NY, 12550","Match","Exact","58 LIBERTY ST, NEWBURGH, NY, 12550","-74.0116,41.49194","124414013","L","36","071","000502","2007"
"48-4-21","24 Henry Ave, Newburgh, NY, 12550","Match","Exact","24 HENRY AVE, NEWBURGH, NY, 12550","-74.01093,41.491627","124431496","R","36","071","000502","2007"
"48-4-20","22 Henry Ave, Newburgh, NY, 12550","Match","Exact","22 HENRY AVE, NEWBURGH, NY, 12550","-74.01084,41.491623","124431496","R","36","071","000502","2007"
"48-4-23","64 Liberty St Wh, Newburgh, NY, 12550","Match","Exact","64 LIBERTY ST, NEWBURGH, NY, 12550","-74.01162,41.491722","124414013","L","36","071","000502","2007"
"48-4-22","28 Henry Ave, Newburgh, NY, 12550","Match","Exact","28 HENRY AVE, NEWBURGH, NY, 12550","-74.011116,41.491642","124431496","R","36","071","000502","2007"
"48-4-28","54 Liberty St Wh, Newburgh, NY, 12550","Match","Exact","54 LIBERTY ST, NEWBURGH, NY, 12550","-74.01158,41.49208","124414013","L","36","071","000502","2007"
"26-2-24.1","96 Dupont Ave, Newburgh, NY, 12550","Match","Exact","96 DUPONT AVE, NEWBURGH, NY, 12550","-74.036934,41.50339","124412013","R","36","071","000200","2006"
"6-5-18.-2","201 Fullerton Ave, Newburgh, NY, 12550","Match","Exact","201 FULLERTON AVE, NEWBURGH, NY, 12550","-74.02574,41.508064","124413354","L","36","071","000300","1007"
"6-5-18.-1","201 Fullerton Ave, Newburgh, NY, 12550","Match","Exact","201 FULLERTON AVE, NEWBURGH, NY, 12550","-74.02574,41.508064","124413354","L","36","071","000300","1007"
"6-5-18.-4","201 Fullerton Ave, Newburgh, NY, 12550","Match","Exact","201 FULLERTON AVE, NEWBURGH, NY, 12550","-74.02574,41.508064","124413354","L","36","071","000300","1007"
"6-5-18.-3","201 Fullerton Ave, Newburgh, NY, 12550","Match","Exact","201 FULLERTON AVE, NEWBURGH, NY, 12550","-74.02574,41.508064","124413354","L","36","071","000300","1007"
"48-4-14","8 Henry Ave, Newburgh, NY, 12550","Match","Exact","8 HENRY AVE, NEWBURGH, NY, 12550","-74.01019,41.491577","124431496","R","36","071","000502","2007"
