="15-4-12","56 VALLEY AVE - 56 Valley Ave",""
="15-4-13","48 VALLEY AVE - 48 Valley Ave",""
="15-4-14","44 VALLEY AVE - 44 Valley Ave",""
="15-4-15","50 VALLEY AVE - 50 Valley Ave",""
="15-4-16","38 VALLEY AVE - 38 Valley Ave",""
="15-4-17.1","430 THIRD ST - 430 Third St",""
="15-4-17.2","426 THIRD ST - 426 Third St",""
="15-4-18","1 ENGLEBRIDE PL - 1 Englebride Pl",""
="15-4-19","420 THIRD ST - 420 Third St",""
="15-4-2","421 SOUTH ST - 421 South St",""
="15-4-20","406 THIRD ST - 406 Third St",""
="15-4-3","419 SOUTH ST - 419 South St",""
="15-4-5.1","40 ALLISON AVE - 40 Allison Ave",""
="15-4-6","34 ALLISON AVE - 34 Allison Ave",""
="15-4-7","32 ALLISON AVE - 32 Allison Ave",""
="15-4-8","28 ALLISON AVE - 28 Allison Ave",""
="15-4-9","26 ALLISON AVE - 26 Allison Ave",""
="15-5-1","181 FULLERTON AVE - 181 Fullerton Ave",""
="15-5-10","157 FULLERTON AVE - 157 Fullerton Ave",""
="15-5-11","155 FULLERTON AVE - 155 Fullerton Ave",""
="15-5-2","175 FULLERTON AVE - 175 Fullerton Ave",""
="15-5-3","173 FULLERTON AVE - 173 Fullerton Ave",""
="15-5-4","171 FULLERTON AVE - 171 Fullerton Ave",""
="15-5-5","169 FULLERTON AVE - 169 Fullerton Ave",""
="15-5-6","167 FULLERTON AVE - 167 Fullerton Ave",""
="15-5-7","165 FULLERTON AVE - 165 Fullerton Ave",""
="15-5-8","161 FULLERTON AVE - 161 Fullerton Ave",""
="15-5-9","159 FULLERTON AVE - 159 Fullerton Ave",""
="15-6-1","147 FULLERTON AVE - 147 Fullerton Ave",""
="15-6-10","115 FULLERTON AVE - 115 Fullerton Ave",""
="15-6-11","111 FULLERTON AVE - 111 Fullerton Ave",""
="15-6-12","109 FULLERTON AVE - 109 Fullerton Ave",""
="15-6-13","107 FULLERTON AVE - 107 Fullerton Ave",""
="15-6-14","105 FULLERTON AVE - 105 Fullerton Ave",""
="15-6-15","103 FULLERTON AVE - 103 Fullerton Ave",""
="15-6-2","145 FULLERTON AVE - 145 Fullerton Ave",""
="15-6-3","143 FULLERTON AVE - 143 Fullerton Ave",""
="15-6-4","141 FULLERTON AVE - 141 Fullerton Ave",""
="15-6-5","135 FULLERTON AVE - 135 Fullerton Ave",""
="15-6-6","127 FULLERTON AVE - 127 Fullerton Ave",""
="15-6-7","121 FULLERTON AVE - 121 Fullerton Ave",""
="15-6-8","119 FULLERTON AVE - 119 Fullerton Ave",""
="15-6-9","117 FULLERTON AVE - 117 Fullerton Ave",""
="16-10-1","20 FARRELL ST - 20 Farrell St",""
="16-10-2","16 FARRELL ST - 16 Farrell St",""
="16-10-3","12 FARRELL ST - 12 Farrell St",""
="16-10-4","8 FARRELL ST - 8 Farrell St",""
="16-10-5","2 FARRELL ST - 2 Farrell St",""
="16-10-6","344 THIRD ST - 344 Third St",""
="16-10-7","342 THIRD ST - 342 Third St",""
="16-10-8","338 THIRD ST - 338 Third St",""
="16-1-10","20 NORTON ST - 20 Norton St",""
="16-1-1.1","21 LILLY ST - 21 Lilly St",""
="16-11-1","71 TOWNSEND AVE - 71 Townsend Ave",""
="16-11-10","53 TOWNSEND AVE - 53 Townsend Ave",""
="16-11-11","51 TOWNSEND AVE - 51 Townsend Ave",""
="16-11-12","49 TOWNSEND AVE - 49 Townsend Ave",""
="16-11-13","47 TOWNSEND AVE - 47 Townsend Ave",""
="16-11-14","43 TOWNSEND AVE - 43 Townsend Ave",""
="16-11-15","39 TOWNSEND AVE - 39 Townsend Ave",""
="16-11-16","37 TOWNSEND AVE - 37 Townsend Ave",""
="16-11-17","35 TOWNSEND AVE - 35 Townsend Ave",""
="16-11-18","33 TOWNSEND AVE - 33 Townsend Ave",""
="16-11-19","31 TOWNSEND AVE - 31 Townsend Ave",""
="16-1-12","162 FULLERTON AVE - 162 Fullerton Ave",""
="16-11-2","69 TOWNSEND AVE - 69 Townsend Ave",""
="16-11-20","29 TOWNSEND AVE - 29 Townsend Ave",""
="16-11-21","27 TOWNSEND AVE - 27 Townsend Ave",""
="16-11-22","25 TOWNSEND AVE - 25 Townsend Ave",""
="16-11-23","23 TOWNSEND AVE - 23 Townsend Ave",""
="16-11-24","100 PROSPECT ST - 100 Prospect St",""
="16-11-25","102 PROSPECT ST - 102 Prospect St",""
="16-11-26","104 PROSPECT ST - 104 Prospect St",""
="16-11-27","106 PROSPECT ST - 106 Prospect St",""
="16-11-28","108 PROSPECT ST - 108 Prospect St",""
="16-11-29","110 PROSPECT ST - 110 Prospect St",""
="16-1-13","164 FULLERTON AVE - 164 Fullerton Ave",""
="16-11-3","67 TOWNSEND AVE - 67 Townsend Ave",""
="16-11-30","112 PROSPECT ST - 112 Prospect St",""
="16-11-31","114 PROSPECT ST - 114 Prospect St",""
="16-11-32","116 PROSPECT ST - 116 Prospect St",""
="16-11-33","118 PROSPECT ST - 118 Prospect St",""
="16-11-34","120 PROSPECT ST - 120 Prospect St",""
="16-11-35","122 PROSPECT ST - 122 Prospect St",""
="16-11-36","124 PROSPECT ST - 124 Prospect St",""
="16-11-37","126 PROSPECT ST - 126 Prospect St",""
="16-11-38","128 PROSPECT ST - 128 Prospect St",""
="16-11-39","130 PROSPECT ST - 130 Prospect St",""
="16-1-14","166 FULLERTON AVE - 166 Fullerton Ave",""
="16-11-4","65 TOWNSEND AVE - 65 Townsend Ave",""
="16-11-40","136 PROSPECT ST - 136 Prospect St",""
="16-11-41","138 PROSPECT ST - 138 Prospect St",""
="16-11-42","140 PROSPECT ST - 140 Prospect St",""
="16-11-43","176 PROSPECT ST - 176 Prospect St",""
="16-11-44","178 PROSPECT ST - 178 Prospect St",""
="16-11-45","182 PROSPECT ST - 182 Prospect St",""
="16-1-15","172 FULLERTON AVE - 172 Fullerton Ave",""
="16-11-5","63 TOWNSEND AVE - 63 Townsend Ave",""
="16-1-16","178 FULLERTON AVE - 178 Fullerton Ave",""
="16-11-6","61 TOWNSEND AVE - 61 Townsend Ave",""
="16-1-17","182 FULLERTON AVE - 182 Fullerton Ave",""
="16-11-7","59 TOWNSEND AVE - 59 Townsend Ave",""
="16-1-18","391 SOUTH ST - 391 South St",""
="16-11-8","57 TOWNSEND AVE - 57 Townsend Ave",""
="16-1-19","160 FULLERTON AVE - 160 Fullerton Ave",""
="16-11-9","55 TOWNSEND AVE - 55 Townsend Ave",""
="16-12-1","68 TOWNSEND AVE - 68 Townsend Ave",""
="16-12-10","48 TOWNSEND AVE - 48 Townsend Ave",""
