ID,SaleDate,Price,NBHD_CODE,PROP_CLASS,BLDG_STYLE,GRADE,OVERALL_COND,SFLA,ACRES,YR_BUILT,NBR_BEDROOMS,NBR_FULL_BATHS,NBR_HALF_BATHS,NBR_FIREPLACES
25-8-6,1364256000,77000,9,210,8,C,3,1344,0.096418733,1925,3,1,0,0
21-1-5,1367884800,170000,6,210,8,C,3,2044,0.352984389,1925,4,2,0,1
3-10-4,1369353600,193000,2,210,4,C,3,1648,0.201446281,1950,3,2,0,0
9-5-35,1369958400,317500,7,210,5,C,4,2094,0.150826446,2004,3,2,1,1
2-19-9,1370822400,345000,2,210,5,B,3,2760,2.8,1860,5,2,1,3
5-2-16,1371081600,118000,5,210,13,C,3,912,0.27,1930,2,1,0,0
9-2-26,1371168000,133000,4,210,5,C,3,1460,0.114784206,1920,3,1,1,1
3-12-1,1371427200,166000,2,210,1,C,3,1952,0.552892562,1950,3,2,0,2
13-11-2,1372291200,208000,10,210,2,C,3,2182,0.234343434,2008,3,3,0,0
2-14-14,1348617600,90000,2,210,1,C,3,734,0.114784206,1950,2,1,0,0
15-2-11,1349740800,145000,6,210,1,C,3,1982,0.315984848,1960,3,2,1,1
28-1-12,1351728000,105000,6,210,8,C,3,1134,0.057392103,1925,3,1,0,0
4-6-6,1353974400,272500,4,210,5,C,4,2073,0.283057851,1946,4,2,1,1
21-4-14,1355961600,115000,6,210,8,C,3,1232,0.066574839,1928,3,1,0,0
15-3-11,1362700800,172000,6,210,1,C,3,1847,0.252525253,1951,3,2,0,1
7-6-3,1363132800,237000,3,210,4,C,4,1601,0.288567493,1930,3,1,1,1
6-6-35,1340668800,195000,2,210,4,C,4,1654,0.172176309,1955,3,3,0,0
14-3-22,1342569600,95000,6,210,4,C,3,985,0.172176309,1936,2,1,0,0
13-7-23,1343088000,120000,9,210,8,C,3,1220,0.172176309,1931,3,1,0,0
4-6-3,1344211200,200000,4,210,8,C,4,1326,0.112029385,1914,3,1,1,1
7-10-24,1345161600,75000,6,210,4,C,3,914,0.092745638,1927,2,1,0,1
3-12-18,1346716800,131145,2,210,4,C,3,1427,0.309917355,1955,3,2,0,1
6-3-35,1346976000,149000,2,210,1,C,3,1084,0.27892562,1955,3,1,0,0
16-9-15,1347321600,73500,11,210,15,C,3,1056,0.08292011,1918,3,1,0,0
13-5-13,1324512000,105000,9,210,8,C,3,1253,0.081955923,1913,3,1,0,0
48-4-6,1327622400,202000,15,210,10,B,4,2470,0.057392103,1900,3,3,0,0
9-1-11,1328227200,350000,4,210,5,B,4,2996,0.252190083,1942,5,4,1,1
10-2-14,1328832000,265000,4,210,8,B,4,2315,0.172176309,1900,3,1,1,3
16-5-13,1329436800,118000,11,210,15,C,3,1112,0.066299357,1918,3,1,1,0
2-13-12,1332460800,150000,2,210,1,C,3,1014,0.114784206,1946,3,1,0,0
17-3-26,1335916800,134000,6,210,8,C,3,2046,0.2543618,1910,2,2,0,0
25-6-14,1336521600,115000,9,210,9,C,3,1098,0.12855831,1949,3,1,0,0
