ID,Street,Non-Homestead,Account,Code,"2016 City","2016 Full","2017 City","2017 Full","2018 City","2018 Full","2019 City","2019 Full","2020 City","2020 Full","2021 City","2021 Full","2022 City","2022 Full","Sale Date","Sale Price","Sale AV",2016OwnerAtAddress,2017OwnerAtAddress,2018OwnerAtAddress,2019OwnerAtAddress,2020OwnerAtAddress,2021OwnerAtAddress,2022OwnerAtAddress,Latitude,Longitude,TigerLine,DistanceFromCityHall,20162022Diff,SaleAssessDiff,SaleAssessDiffPercent,SqFt,Bathrooms,Bedrooms,YearBuilt,LandSize,Zoning,Ward,CensusBlock,AVPerSqFt,AVChangePercent,SalePricePerSqFt,NbhdCode,2021Vacant,2021Violations,OpportunityZone
45-4-12,"24 Benkard Ave",0,016950,220,59100,62200,51700,51700,51700,51700,51700,51700,120400,120400,142100,142100,170500,170500,,,,1,1,1,1,1,1,1,41.49533,-74.01225,124413973,551,108300,,,2122.0,2.0,4.0,1890,1890,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",80.35,1.74,,14,0,0,0
45-4-13,"26 Benkard Ave",0,017000,220,65600,69100,65600,65600,81400,81400,81400,81400,119800,119800,141400,141400,169700,169700,,,,1,1,1,1,1,1,1,41.495335,-74.01234,124413973,553,100600,,,2212.0,3.0,5.0,1890,1890,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",76.72,1.46,,14,0,0,0
45-4-14,"28 Benkard Ave",0,017050,220,62000,65300,66700,66700,79800,79800,79800,79800,121300,121300,243900,243900,292700,292700,2014-02-07,78000,62000,1,1,1,1,1,1,1,41.49534,-74.01242,124413973,555,227400,16000,0.26,2286.0,2.0,7.0,1900,1900,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",128.04,3.48,34.12,14,0,0,0
45-4-15,"30 Benkard Ave",0,017100,220,58300,61400,65700,65700,85600,85600,85600,85600,121900,121900,143800,143800,172600,172600,2019-02-13,118000,85600,1,1,1,1,1,1,1,41.495346,-74.012505,124413973,557,111200,32400,0.38,2412.0,2.0,5.0,1900,1900,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",71.56,1.81,48.92,14,0,0,0
45-4-16,"32 Benkard Ave",0,017150,230,148500,148500,159100,159100,87400,87400,87400,87400,158700,158700,87400,243700,105264,292400,,,,1,0,1,1,1,1,1,41.49535,-74.01259,124413973,559,143900,,,3411.0,null,null,1890,1890,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",85.72,0.97,,31,1,0,0
45-4-17,"38 S Lander St",0,291800,220,72900,76700,73300,73300,87000,87000,87000,87000,128800,128800,152000,152000,182400,182400,,,,1,1,1,1,1,1,1,,,,0,105700,,,2276.0,2.0,7.0,1890,1890,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",80.14,1.38,,14,0,0,0
45-4-18,"36 S Lander St",0,291750,230,71500,75300,82000,82000,124900,124900,124900,124900,170800,170800,201500,201500,241800,241800,,,,1,1,1,1,1,1,1,,,,0,166500,,,2535.0,3.0,8.0,1900,1900,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",95.38,2.21,,14,0,0,0
45-4-19,"34 S Lander St",0,291700,230,89800,94500,93800,93800,127500,127500,127500,127500,92500,92500,109200,109200,131000,131000,2019-07-30,90000,127500,1,1,1,1,1,1,1,,,,0,36500,-37500,-0.29,2535.0,3.0,8.0,1890,1890,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",51.68,0.39,35.5,14,0,0,0
45-4-5,"109 S William St",1,300250,482,236300,236300,0,194600,0,194600,0,194600,226600,226600,194600,1700000,194600,1700000,,,,1,1,1,1,1,1,1,,,,0,1463700,,,14270.0,null,null,1910,1910,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",119.13,6.19,,31,1,0,0
45-4-6,"21 Liberty St",1,179900,449,290200,290200,361700,361700,361700,361700,361700,361700,602800,602800,602800,602800,602800,602800,2013-09-19,300000,442800,1,1,1,1,1,1,1,41.493694,-74.01139,124414007,710,312600,-142800,-0.32,55972.0,null,null,1924,1924,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",10.77,1.08,5.36,31,0,0,0
45-4-7,"14 Benkard Ave",0,016650,220,59100,62200,63400,63400,75000,75000,75000,75000,124900,124900,147400,147400,176900,176900,2021-10-08,135000,147400,1,1,1,1,1,1,1,41.495304,-74.01184,124413973,543,114700,-12400,-0.08,2196.0,2.0,5.0,1900,1900,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",80.56,1.84,61.48,14,0,0,0
45-4-8,"16 Benkard Ave",0,016750,220,65600,69100,63400,63400,82900,82900,82900,82900,124900,124900,147400,147400,176900,176900,,,,1,1,1,1,1,1,1,41.49531,-74.011925,124413973,545,107800,,,2196.0,2.0,5.0,1900,1900,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",80.56,1.56,,14,0,0,0
45-4-9,"18 Benkard Ave",0,016800,220,65600,69100,49900,49900,49900,49900,49900,49900,66800,66800,78800,78800,94600,94600,,,,0,1,1,1,1,1,1,41.495316,-74.012,124413973,546,25500,,,2196.0,2.0,4.0,1900,1900,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",43.08,0.37,,14,1,0,0
45-5-1,"31 Benkard Ave",0,014550,220,0,50500,0,38300,38300,38300,38300,38300,67900,67900,80100,80100,96100,96100,,,,1,1,1,1,1,1,1,41.49535,-74.01275,124413973,564,45600,,,3717.0,2.0,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",25.85,0.9,,14,1,0,0
45-5-10,"11 Benkard Ave",0,014100,230,75000,75000,52200,52200,52200,52200,167100,167100,101378,223300,119629,263500,143555,316200,2017-10-25,55000,52200,1,1,1,1,1,1,1,41.495293,-74.01181,124413973,544,241200,2800,0.05,2164.0,3.0,7.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",146.12,3.22,25.42,14,0,0,0
45-5-11,"9 Benkard Ave",0,014050,230,86700,91300,96500,96500,118900,118900,118900,118900,139600,139600,164700,164700,197600,197600,2019-11-07,133000,118900,1,1,1,1,1,1,1,41.495285,-74.01172,124413973,542,106300,14100,0.12,2164.0,3.0,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",91.31,1.16,61.46,14,0,0,0
45-5-12,"7 Benkard Ave",0,014001,210,74800,74800,76100,76100,76100,76100,129800,129800,164000,164000,183700,183700,220400,220400,2018-12-07,158000,76100,1,1,1,1,1,1,1,41.49528,-74.01163,124413973,541,145600,81900,1.08,1346.0,2.0,4.0,1890,1890,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",163.74,1.95,117.38,14,0,0,0
45-5-13,"19 Liberty St",1,179850,482,139560,146700,148340,153100,150720,153100,153100,153100,206300,206300,206300,206300,206300,206300,,,,1,1,1,1,1,1,1,41.49311,-74.011475,124414007,775,59600,,,4000.0,null,null,1890,1890,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",51.58,0.41,,31,0,0,0
45-5-14,"17 Liberty St",0,179800,230,70300,74000,96200,96200,117300,117300,117300,117300,190400,190400,224700,224700,269600,269600,2021-05-14,318750,190400,1,1,1,1,1,1,1,41.493694,-74.011406,124414007,710,195600,128350,0.67,3072.0,3.0,8.0,1890,1890,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",87.76,2.64,103.76,14,0,0,0
45-5-15,"15 Liberty St",1,179750,481,78700,78700,78700,78700,131600,131600,131600,131600,226800,226800,226800,226800,226800,226800,2019-06-28,330000,131600,1,1,1,1,1,1,1,,,,0,148100,198400,1.51,3334.0,null,null,1910,1910,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",68.03,1.88,98.98,31,0,0,0
45-5-16,"13 Liberty St",0,179700,220,62700,66000,70800,70800,90500,90500,90500,90500,189300,189300,223400,223400,268100,268100,2019-03-08,262500,90500,1,1,1,1,1,1,1,,,,0,202100,172000,1.9,3006.0,2.0,4.0,1890,1890,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",89.19,3.06,87.33,14,0,0,0
45-5-17,"11 Liberty St",0,179650,230,76600,80600,84500,84500,106500,106500,106500,106500,184300,184300,217500,217500,261000,261000,2019-03-08,262500,106500,1,1,1,1,1,1,1,,,,0,180400,156000,1.46,3024.0,3.0,5.0,1890,1890,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",86.31,2.24,86.81,14,0,0,0
45-5-18,"1 Liberty St",1,179625,465,67200,67200,75000,75000,75000,75000,75000,75000,125000,125000,125000,125000,125000,125000,2016-10-07,300000,67200,1,1,1,1,1,1,1,,,,0,57800,232800,3.46,23796.0,null,null,1930,1930,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 1",5.25,0.86,12.61,31,1,1,0
45-5-19,"100 Renwick St",1,254100,482,75300,75300,75300,75300,75300,75300,104700,104700,127600,127600,127600,127600,127600,127600,2019-02-22,134000,75300,1,1,1,1,1,1,1,41.494545,-74.01258,124413975,642,52300,58700,0.78,1760.0,null,null,1920,1920,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",72.5,0.69,76.14,31,0,0,0
45-5-2,"29 Benkard Ave",0,014500,220,75900,79900,79400,79400,120600,120600,120600,120600,183000,183000,215900,215900,259100,259100,,,,1,1,1,1,1,1,1,41.495342,-74.01266,124413973,562,179200,,,3309.0,2.0,8.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",78.3,2.24,,14,0,0,0
45-5-20,"102 Renwick St",0,254150,230,98700,103900,108700,108700,112300,112300,112300,112300,184000,184000,217100,217100,260500,260500,2020-04-03,300000,112300,1,1,1,1,1,1,1,41.494545,-74.01261,124413975,643,156600,187700,1.67,3300.0,3.0,8.0,1900,1900,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",78.94,1.51,90.91,14,0,0,0
45-5-21,"104 Renwick St",0,254200,230,0,47200,0,34700,34700,34700,158800,158800,229200,229200,270500,270500,324600,324600,,375000,270500,1,1,1,1,1,1,1,41.49455,-74.012634,124413975,643,277400,104500,0.39,2970.0,3.0,8.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",109.29,5.88,126.26,14,0,0,0
45-5-22,"106 Renwick St",0,254250,230,82200,86500,89000,89000,105800,105800,105800,105800,149200,149200,176100,176100,211300,211300,2021-02-01,195000,149200,1,1,1,1,1,1,1,41.49455,-74.01266,124413975,644,124800,45800,0.31,2294.0,3.0,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",92.11,1.44,85,14,0,0,0
45-5-23,"108 Renwick St",0,254300,210,43200,79200,43200,79200,50400,79200,57600,79200,80053,118600,112081,132800,159400,159400,,,,1,1,1,1,1,1,1,41.494553,-74.01268,124413975,644,80200,,,1496.0,2.0,6.0,1900,1900,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",106.55,1.01,,14,0,0,0
45-5-24,"110 Renwick St",0,254350,230,113000,118900,113000,113000,119300,119300,119300,119300,197900,197900,233500,233500,280200,280200,,,,1,1,1,1,1,1,1,41.494553,-74.0127,124413975,645,161300,,,3042.0,3.0,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",92.11,1.36,,14,0,0,0
45-5-25,"112 Renwick St",0,254400,230,115900,122000,120300,120300,120300,120300,120300,120300,209800,209800,247600,247600,297100,297100,,,,1,1,1,1,1,1,1,41.494553,-74.01273,124413975,646,175100,,,3402.0,3.0,9.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",87.33,1.44,,14,0,0,0
45-5-26,"114 Renwick St",0,254450,230,39050,82200,42450,84900,58150,116300,58150,116300,92750,185500,109450,218900,131350,262700,,,,1,1,1,1,1,1,1,41.494556,-74.01276,124413975,646,180500,,,3429.0,3.0,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",76.61,2.2,,14,0,0,0
45-5-27,"116 Renwick St",0,254500,230,110400,116200,112100,112100,117800,117800,117800,117800,197300,197300,232800,232800,279400,279400,,,,1,1,1,1,1,1,1,41.494556,-74.01278,124413975,647,163200,,,3501.0,3.0,9.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",79.81,1.4,,14,1,1,0
45-5-28,"120 Renwick St",0,254550,230,87400,92000,92000,92000,114200,114200,114200,114200,180000,180000,212400,212400,254900,254900,,,,1,1,1,1,1,1,1,41.49456,-74.012825,124413975,648,162900,,,3384.0,3.0,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",75.33,1.77,,14,0,0,0
45-5-29,"122 Renwick St",2,254600,481,159500,159500,159500,159500,159500,159500,159500,159500,194000,194000,194000,194000,194000,194000,,,,1,1,1,1,1,1,1,41.49456,-74.01285,124413975,649,34500,,,4292.0,null,null,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",45.2,0.22,,31,0,0,0
45-5-3,"25 Benkard Ave",1,014450,411,0,254600,0,155500,155500,155500,155500,155500,450000,450000,515600,515600,515600,515600,,,,1,1,1,1,1,1,1,41.49533,-74.01247,124413973,557,261000,,,6828.0,null,null,1900,1900,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",75.51,1.03,,31,0,0,0
45-5-30,"58 S Lander St",0,291950,220,71300,75100,71300,71300,75000,75000,75000,75000,125400,125400,148000,148000,177600,177600,,,,1,1,1,1,1,1,1,,,,0,102500,,,1968.0,2.0,5.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",90.24,1.36,,14,0,0,0
45-5-31,"56 S Lander St",0,291900,230,78900,83000,81000,81000,94000,94000,94000,94000,150000,150000,177000,177000,212400,212400,,,,1,1,1,1,1,1,1,41.494926,-74.01293,124413972,614,129400,,,2192.0,3.0,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",96.9,1.56,,14,1,0,0
45-5-32,"54 S Lander St",0,291850,312,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16600,16600,,,,1,1,1,1,1,1,1,,,,0,200,,,null,null,null,null,null,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",,0.01,,14,0,0,0
45-5-4,"23 Benkard Ave",0,014400,220,59600,62700,53800,53800,83000,83000,83000,83000,125100,125100,147600,147600,177100,177100,,,,1,1,1,1,1,1,1,41.495327,-74.012375,124413973,555,114400,,,2156.0,2.5,5.0,1895,1895,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",82.14,1.82,,14,0,0,0
45-5-5,"21 Benkard Ave",0,014350,230,59600,62700,33500,33500,45400,45400,45400,45400,69900,69900,199300,199300,310600,310600,2019-01-11,145000,45400,1,1,1,1,1,1,1,41.49532,-74.01228,124413973,553,247900,99600,2.19,2164.0,2.0,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",143.53,3.95,67.01,14,1,0,0
45-5-6,"19 Benkard Ave",0,014300,220,66200,69700,75000,75000,87200,87200,87200,87200,121200,121200,143000,143000,171600,171600,2011-01-12,84000,84000,1,1,1,1,1,1,1,41.495316,-74.01219,124413973,551,101900,0,0,2164.0,2.0,3.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",79.3,1.46,38.82,14,0,0,0
45-5-7,"17 Benkard Ave",0,014250,220,72500,76300,72500,72500,86800,86800,86800,86800,121100,121100,142900,142900,171500,171500,,,,1,1,1,1,1,1,1,41.495308,-74.01209,124413973,549,95200,,,2164.0,2.0,7.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",79.25,1.25,,14,0,0,0
45-5-8,"15 Benkard Ave",0,014200,220,72900,76700,73200,73200,89300,89300,89300,89300,120200,120200,141800,141800,170200,170200,,,,2,2,2,2,2,2,2,41.495304,-74.012,124413973,547,93500,,,2164.0,2.0,4.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",78.65,1.22,,14,0,0,0
45-5-9,"13 Benkard Ave",0,014150,220,59800,62900,43400,43400,77600,77600,77600,77600,131000,131000,154600,154600,185500,185500,,,,1,1,1,1,1,1,1,41.495296,-74.01191,124413973,546,122600,,,2164.0,2.0,4.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 1",85.72,1.95,,14,0,0,0
45-6-1,"121 Renwick St",0,257600,220,26700,73400,39500,73900,61300,87100,69900,87100,113600,122200,144200,144200,173000,173000,,,,1,1,1,1,1,1,1,41.49455,-74.012856,124413975,650,99600,,,2160.0,2.0,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 3",80.09,1.36,,14,0,0,0
45-6-10,"101 Renwick St",0,257150,230,105200,110700,112400,112400,121800,121800,121800,121800,206800,206800,244000,244000,266700,266700,,,,1,1,1,1,1,1,1,41.494488,-74.01191,124413975,632,156000,,,2540.0,3.0,5.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 3",105,1.41,,14,0,0,0
45-6-11,"99 Renwick St",0,257100,220,53400,56200,59100,59100,85500,85500,85500,85500,127400,127400,150300,150300,180400,180400,,,,1,1,1,1,1,1,1,41.49448,-74.01182,124413975,631,124200,,,2348.0,3.5,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 3",76.83,2.21,,14,0,0,0
45-6-12,"97 Renwick St",0,257050,220,68900,72500,68700,68700,84700,84700,84700,84700,126400,126400,149200,149200,179000,179000,,,,1,1,1,1,1,1,1,41.494473,-74.01173,124413975,630,106500,,,2348.0,4.0,5.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 3",76.24,1.47,,14,0,0,0
45-6-13,"95 Renwick St",0,257000,220,26100,91800,39940,92500,69080,108500,82220,108500,160360,173500,204700,204700,245600,245600,,,,1,1,1,1,1,1,1,41.494465,-74.01163,124413975,629,153800,,,3336.0,3.0,10.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 3",73.62,1.68,,14,0,0,0
45-6-14,"5 Liberty St Wh",1,194875,482,121300,121300,121300,121300,121300,121300,121300,121300,142300,142300,300000,300000,300000,300000,2020-01-23,300000,121300,1,1,1,1,1,1,1,,,,0,178700,178700,1.47,3660.0,null,null,1930,1930,"Downtown Neighborhood","Ward 2","County 071 Tract 000502 Block Group 3",81.97,1.47,81.97,31,1,1,0
45-6-15,"9 Liberty St Wh",0,194900,220,70800,74500,71300,71300,89400,89400,89400,89400,129600,129600,152900,152900,183500,183500,,,,1,1,1,1,1,1,1,,,,0,109000,,,2454.0,2.0,5.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",74.78,1.46,,14,0,0,0
45-6-16,"11 Liberty St Wh",0,194950,220,70800,74500,71500,71500,91200,91200,91200,91200,130100,130100,153500,153500,184200,184200,,,,1,1,1,1,1,1,1,,,,0,109700,,,2454.0,2.0,5.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",75.06,1.47,,14,0,0,0
45-6-17,"13 Liberty St Wh",0,195000,210,68300,68300,61200,61200,61200,61200,61200,61200,161600,161600,181000,181000,217200,217200,,,,1,1,1,1,1,1,1,,,,0,148900,,,1888.0,1.0,3.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",115.04,2.18,,14,0,0,0
45-6-18,"15 Liberty St Wh",0,195050,210,46700,93400,63895,98300,63895,98300,63895,98300,105430,162200,118105,181700,141700,218000,,,,1,1,1,1,1,1,1,,,,0,124600,,,1731.0,1.0,3.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",125.94,1.33,,14,0,0,0
45-6-19,"44 Carson Ave",0,050850,210,38000,38000,43700,43700,43700,250000,43700,250000,44205,252600,49507,282900,59412,339500,2017-06-27,261000,43700,1,1,1,1,1,1,1,41.493816,-74.012276,124413985,712,301500,217300,4.97,1240.0,1.0,2.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",273.79,7.93,210.48,14,1,0,0
45-6-2,"119 Renwick St",0,257550,220,25600,26900,25600,25600,25600,25600,25600,25600,41900,41900,49400,49400,59300,59300,,,,1,1,1,1,1,1,1,41.494545,-74.01276,124413975,648,32400,,,2160.0,1.0,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 3",27.45,1.2,,14,1,0,0
45-6-20,"46 Carson Ave",0,050900,210,40750,81500,33450,66900,33450,66900,33450,66900,69050,138100,77350,154700,92800,185600,,,,1,1,1,1,1,1,1,41.49382,-74.01232,124413985,713,104100,,,1364.0,2.0,3.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",136.07,1.28,,14,0,0,0
45-6-21,"48 Carson Ave",0,050950,210,68000,68000,65400,65400,65400,245800,65400,245800,67392,249600,75492,279600,90585,335500,2017-06-27,250000,65400,1,1,1,1,1,1,1,41.493824,-74.012375,124413985,714,267500,184600,2.82,1364.0,1.0,3.0,1900,1900,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",245.97,3.93,183.28,14,0,0,0
45-6-22,"50 Carson Ave",0,051000,220,64100,67500,66700,66700,82600,82600,82600,82600,131600,131600,155300,155300,186400,186400,,,,1,1,1,1,1,1,1,41.493828,-74.01242,124413985,714,118900,,,1688.0,2.5,5.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",110.43,1.76,,14,0,0,0
45-6-23,"52 Carson Ave",0,051050,220,66700,70200,71800,71800,87300,87300,87300,87300,125100,125100,147600,147600,177100,177100,,,,1,1,1,1,1,1,1,41.493828,-74.01247,124413985,715,106900,,,1688.0,2.0,4.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",104.92,1.52,,14,0,0,0
45-6-24,"54 Carson Ave",0,051100,220,73400,77300,73400,73400,84300,84300,84300,84300,127800,127800,150800,150800,181000,181000,,,,1,1,1,1,1,1,1,41.49383,-74.01251,124413985,716,103700,,,1484.0,2.0,4.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",121.97,1.34,,14,0,0,0
45-6-25,"56 Carson Ave",0,051150,210,69600,69600,67900,67900,67900,67900,67900,67900,115700,115700,207400,207400,196600,248900,2021-05-20,300000,115700,1,1,1,1,1,1,1,41.493835,-74.01256,124413985,717,179300,184300,1.59,1008.0,1.5,2.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",246.92,2.58,297.62,14,0,0,0
45-6-26,"58 Carson Ave",0,051200,220,73300,73300,71700,71700,71700,71700,71700,71700,78200,78200,231400,231400,277700,277700,2019-08-09,90000,71700,1,1,1,1,1,1,1,41.49384,-74.01261,124413985,718,204400,18300,0.26,1008.0,1.5,2.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",275.5,2.79,89.29,14,1,1,0
45-6-27,"60 Carson Ave",0,051250,210,72400,72400,71500,71500,71500,71500,71500,71500,102300,102300,114600,114600,137500,137500,2019-11-11,75000,71500,1,1,1,1,1,1,1,41.493843,-74.01266,124413985,719,65100,3500,0.05,1008.0,2.0,4.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",136.41,0.9,74.4,14,0,0,0
45-6-28,"62 Carson Ave",0,051300,210,90600,90600,63400,63400,63400,63400,63400,63400,137600,137600,154100,154100,184900,184900,2015-11-18,60000,90600,1,1,1,1,1,1,1,41.493843,-74.0127,124413985,720,94300,-30600,-0.34,1508.0,3.0,5.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",122.61,1.04,39.79,14,0,0,0
45-6-29,"64 Carson Ave",0,051350,210,87700,87700,68400,68400,68400,68400,68400,68400,63000,126000,70550,141100,84650,169300,,,,1,1,1,1,1,1,1,41.493847,-74.01275,124413985,720,81600,,,1424.0,2.0,3.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",118.89,0.93,,14,0,0,0
45-6-3,"117 Renwick St",0,257500,210,51300,51300,48400,48400,48400,48400,48400,48400,115300,115300,129100,129100,154900,154900,,,,1,1,1,1,1,1,1,41.494537,-74.012665,124413975,646,103600,,,1440.0,1.0,3.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 3",107.57,2.02,,14,0,0,0
45-6-30,"66 Carson Ave",0,051400,210,0,61700,55000,55000,55000,55000,55000,55000,58500,58500,65500,65500,282700,282700,,,,1,1,1,1,1,1,1,41.49385,-74.012794,124413985,721,221000,,,1376.0,1.0,5.0,1900,1900,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",205.45,3.58,,14,1,0,0
45-6-31,"68 Carson Ave",0,051450,210,99000,99000,82500,82500,82500,82500,82500,82500,136300,136300,152700,152700,183200,183200,,,,1,1,1,1,1,1,1,41.493855,-74.01285,124413985,722,84200,,,1580.0,1.5,3.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",115.95,0.85,,14,0,0,0
45-6-32.1,"70 Carson Ave",0,051525,220,75100,79000,77100,77100,93600,93600,93600,93600,137900,137900,162700,162700,195200,195200,,,,1,1,1,1,1,1,1,,,,0,116200,,,2032.0,2.0,2.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",96.06,1.47,,14,0,0,0
45-6-32.2,"72 Carson Ave",0,051500,220,69800,73500,71500,71500,92500,92500,92500,92500,132500,132500,156400,156400,187700,187700,,,,1,1,1,1,1,1,1,,,,0,114200,,,2032.0,2.0,6.0,1890,1890,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",92.37,1.55,,14,0,0,0
45-6-33,"74 S Lander St",0,292050,220,51400,54100,57700,57700,79200,79200,79200,79200,133300,133300,157300,157300,188800,188800,,,,0,1,1,1,1,1,1,41.494286,-74.013016,124413974,682,134700,,,1782.0,3.0,6.0,1900,1900,"Residential Low Density","Ward 2","County 071 Tract 000502 Block Group 3",105.95,2.49,,14,0,0,0
45-6-34,"72 S Lander St",0,292000,210,70700,70700,64800,64800,64800,64800,64800,64800,105300,105300,117900,117900,141500,141500,,,,1,1,1,1,1,1,1,,,,0,70800,,,1150.0,1.5,2.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 3",123.04,1,,14,0,0,0
45-6-4,"115 Renwick St",0,257450,220,91100,95900,91100,91100,118000,118000,118000,118000,170900,170900,201700,201700,242000,242000,,,,1,1,1,1,1,1,1,41.494534,-74.01257,124413975,643,146100,,,2499.0,2.0,6.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 3",96.84,1.52,,14,0,0,0
45-6-5,"109 Renwick St",0,257400,220,85100,89600,94000,94000,106600,106600,106600,106600,152200,152200,179600,179600,215500,215500,,,,1,1,1,1,1,1,1,41.49452,-74.01229,124413975,637,125900,,,1656.0,2.0,4.0,1931,1931,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 3",130.13,1.41,,14,0,0,0
45-6-6,"107 Renwick St",0,257350,220,71500,75300,77500,77500,88600,88600,88600,88600,133800,133800,157900,157900,189500,189500,,,,1,1,1,1,1,1,1,41.49451,-74.01219,124413975,636,114200,,,1408.0,2.0,4.0,1890,1890,"Residential Medium Density","Ward 2","County 071 Tract 000502 Block Group 3",134.59,1.52,,14,0,0,0
