ID,Street,Non-Homestead,Account,Code,"2016 City","2016 Full","2017 City","2017 Full","2018 City","2018 Full","2019 City","2019 Full","2020 City","2020 Full","2021 City","2021 Full","2022 City","2022 Full","Sale Date","Sale Price","Sale AV",2016OwnerAtAddress,2017OwnerAtAddress,2018OwnerAtAddress,2019OwnerAtAddress,2020OwnerAtAddress,2021OwnerAtAddress,2022OwnerAtAddress,Latitude,Longitude,TigerLine,DistanceFromCityHall,20162022Diff,SaleAssessDiff,SaleAssessDiffPercent,SqFt,Bathrooms,Bedrooms,YearBuilt,LandSize,Zoning,Ward,CensusBlock,AVPerSqFt,AVChangePercent,SalePricePerSqFt,NbhdCode,2021Vacant,2021Violations,OpportunityZone
10-1-15,"279 Grand St",0,143450,210,13100,13100,13100,13100,13100,13100,63600,63600,63800,63800,73400,73400,88100,88100,,,,1,1,1,1,1,1,1,41.50964,-74.00924,124413538,1075,75000,,,2375.0,5.0,5.0,1900,1900,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",37.09,5.73,,4,1,1,1
10-1-16,"277 Grand St",1,143400,411,269300,269300,279100,279100,279100,279100,317300,317300,395400,395400,480700,480700,480700,480700,2021-12-03,253000,174300,1,1,1,1,1,1,1,41.509575,-74.00924,124413538,1068,211400,78700,0.45,4200.0,null,null,1900,1900,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",114.45,0.78,60.24,22,0,0,1
10-1-17,"275 Grand St",1,143350,411,265000,265000,268400,268400,268400,268400,268400,268400,364800,364800,417500,417500,417500,417500,2019-07-11,410000,268400,1,1,1,1,1,1,1,41.509506,-74.00923,124413538,1060,152500,141600,0.53,4488.0,null,null,1900,1900,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",93.03,0.58,91.35,22,0,0,1
10-1-18,"271 Grand St",0,143300,220,119500,119500,119500,119500,119500,119500,119500,119500,163500,163500,409800,409800,491800,491800,,,,1,1,1,1,1,1,1,41.509373,-74.00923,124413538,1045,372300,,,3968.0,3.0,7.0,1900,1900,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",123.94,3.12,,4,1,1,1
10-1-19,"80 Clinton St",0,073000,210,0,37300,37300,37300,52700,52700,66300,66300,151600,151600,174300,174300,73300,209200,,,,1,1,1,1,1,1,1,41.509212,-74.00965,124431488,1026,171900,,,1088.0,1.5,2.0,1900,1900,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",192.28,4.61,,4,0,0,1
10-1-2,"87 Broad St",0,024350,210,239300,239300,233200,233200,233200,233200,278800,278800,259600,259600,298500,298500,358200,358200,,,,1,1,1,1,1,1,1,41.51169,-74.00991,124497013,1301,118900,,,3264.0,2.5,4.0,1895,1895,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",109.74,0.5,,4,0,0,1
10-1-20,"82 Clinton St",0,073050,210,150600,150600,144800,144800,144800,144800,16400,161200,0,66300,76200,76200,91400,328300,,,,1,1,1,1,1,1,1,41.50922,-74.00975,124431488,1026,177700,,,2028.0,3.0,4.0,1866,1866,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",161.88,1.18,,4,0,0,1
10-1-21,"84 Clinton St",1,073075,482,50000,50000,50000,50000,50000,171400,50000,171400,62021,212400,62021,212400,62021,212400,,,,1,1,1,1,1,1,1,41.509228,-74.00986,124431488,1027,162400,,,5336.0,null,null,1860,1860,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",39.81,3.25,,25,0,0,1
10-1-22,"88 Clinton St",0,073100,230,60900,66200,60900,60900,60900,60900,67000,67000,159900,159900,188700,188700,226400,226400,2016-05-02,60000,66200,1,1,1,1,1,1,1,41.509247,-74.01007,124431488,1029,160200,-6200,-0.09,1716.0,3.0,3.0,1900,1900,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",131.93,2.42,34.97,8,0,0,1
10-1-23,"362 Liberty St",1,190400,482,103400,103400,120000,120000,120000,120000,120000,120000,323000,323000,323000,323000,323000,323000,2019-05-31,325000,120000,1,1,1,1,1,1,1,41.509552,-74.01072,639364684,1065,219600,205000,1.71,3892.0,null,null,1860,1860,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",82.99,2.12,83.5,25,0,0,1
