"22-5-33","260 FIRST ST - 260 First St","","Yes"
"22-6-30","292 FIRST ST - 292 First St","","Yes"
"2-3-1","1 PLEASANT PL - 1 Pleasant Pl","","Yes"
"23-2-11","78 LANDER ST - 78 Lander St","","Yes"
"23-2-12","76 LANDER ST - 76 Lander St","","Yes"
"23-2-13","62 CAMPBELL ST - 62 Campbell St","","Yes"
"23-2-14","64 CAMPBELL ST - 64 Campbell St","","Yes"
"23-2-15","66 CAMPBELL ST - 66 Campbell St","","Yes"
"23-2-16","68 CAMPBELL ST - 68 Campbell St","","Yes"
"23-2-17","82 JOHNSTON ST - 82 Johnston St","","Yes"
"23-2-18","84 JOHNSTON ST - 84 Johnston St","","Yes"
"23-2-5","90 LANDER ST - 90 Lander St","","Yes"
"23-2-7","86 LANDER ST - 86 Lander St","","Yes"
"23-2-8","84 LANDER ST - 84 Lander St","","Yes"
"23-3-14","77 CHAMBERS ST - 77 Chambers St","","Yes"
"23-3-15","77 LANDER ST - 77 Lander St","","Yes"
"23-3-19","85 LANDER ST - 85 Lander St","","Yes"
"2-3-3.2","5 Pleasant Pl","","Yes"
"23-3-23","93 LANDER ST - 93 Lander St","","Yes"
"23-3-4","133 THIRD ST - 133 Third St","","Yes"
"23-3-6","129 THIRD ST - 129 Third St","","Yes"
"23-3-8","93 CHAMBERS ST - 93 Chambers St","","Yes"
"23-4-5","233 LIBERTY ST - 233 Liberty St","","Yes"
"23-5-3","205 LIBERTY ST - 205 Liberty St","","Yes"
"23-5-4","203 LIBERTY ST - 203 Liberty St","","Yes"
"23-5-8","128 FIRST ST - 128 First St","","Yes"
"23-6-11","49 LANDER ST - 49 Lander St","","Yes"
"23-6-14","55 LANDER ST - 55 Lander St","","Yes"
"23-6-15","57 LANDER ST - 57 Lander St","","Yes"
"23-6-16.1","59 LANDER ST - 59 Lander St","","Yes"
"23-6-18","63 LANDER ST - 63 Lander St","","Yes"
"23-6-22.1","71 LANDER ST - 71 Lander St","","Yes"
"23-7-17","164 FIRST ST - 164 First St","","Yes"
"23-7-20","64 JOHNSTON ST - 64 Johnston St","","Yes"
"23-7-22","68 JOHNSTON ST - 68 Johnston St","","Yes"
"23-7-23","70 JOHNSTON ST - 70 Johnston St","","Yes"
"23-7-24","72 JOHNSTON ST - 72 Johnston St","","Yes"
"23-7-5","74 LANDER ST - 74 Lander St","","Yes"
"23-7-6","72 LANDER ST - 72 Lander St","","Yes"
"23-7-9","66 LANDER ST - 66 Lander St","","Yes"
"24-2-17","120 GRAND ST - 120 Grand St","","Yes"
"25-1-51","84 MAPLE ST - 84 Maple St","","Yes"
"25-1-62","87 MAPLE ST - 87 Maple St","","Yes"
